sku_code,sku_name,brand,category,pack_size,mrp_inr
BV-0205,Zing Cola 1.5L,Zing Cola,Beverages,1.5L,67
BV-0206,Zing Cola 2L,Zing Cola,Beverages,2L,132
BV-0207,Zing Cola Tetra 250ml,Zing Cola,Beverages,Tetra 250ml,70
BV-0208,Zing Cola Multipack 6x300ml,Zing Cola,Beverages,Multipack 6x300ml,55
BV-0301,Chai Mitra 200ml,Chai Mitra,Beverages,200ml,34
BV-0302,Chai Mitra 300ml,Chai Mitra,Beverages,300ml,44
BV-0303,Chai Mitra 500ml,Chai Mitra,Beverages,500ml,65
BV-0304,Chai Mitra 1L,Chai Mitra,Beverages,1L,110
BV-0305,Chai Mitra 1.5L,Chai Mitra,Beverages,1.5L,91
BV-0306,Chai Mitra 2L,Chai Mitra,Beverages,2L,95
BV-0307,Chai Mitra Tetra 250ml,Chai Mitra,Beverages,Tetra 250ml,121
BV-0308,Chai Mitra Multipack 6x300ml,Chai Mitra,Beverages,Multipack 6x300ml,75
HC-0101,SparkClean 250ml,SparkClean,Home Care,250ml,35
HC-0102,SparkClean 500ml,SparkClean,Home Care,500ml,54
HC-0103,SparkClean 1L,SparkClean,Home Care,1L,69
HC-0104,SparkClean 2L,SparkClean,Home Care,2L,108
HC-0105,SparkClean Refill 800ml,SparkClean,Home Care,Refill 800ml,61
HC-0106,SparkClean Bar 150g,SparkClean,Home Care,Bar 150g,101
HC-0107,SparkClean Sachet 20ml,SparkClean,Home Care,Sachet 20ml,116
HC-0108,SparkClean Combo 1L+250ml,SparkClean,Home Care,Combo 1L+250ml,190
HC-0201,FreshFloor 250ml,FreshFloor,Home Care,250ml,34
HC-0202,FreshFloor 500ml,FreshFloor,Home Care,500ml,58
HC-0203,FreshFloor 1L,FreshFloor,Home Care,1L,44
HC-0204,FreshFloor 2L,FreshFloor,Home Care,2L,30
HC-0205,FreshFloor Refill 800ml,FreshFloor,Home Care,Refill 800ml,111
HC-0206,FreshFloor Bar 150g,FreshFloor,Home Care,Bar 150g,140
HC-0207,FreshFloor Sachet 20ml,FreshFloor,Home Care,Sachet 20ml,54
HC-0208,FreshFloor Combo 1L+250ml,FreshFloor,Home Care,Combo 1L+250ml,83
HC-0301,DishBright 250ml,DishBright,Home Care,250ml,31
HC-0302,DishBright 500ml,DishBright,Home Care,500ml,41
HC-0303,DishBright 1L,DishBright,Home Care,1L,27
HC-0304,DishBright 2L,DishBright,Home Care,2L,33
HC-0305,DishBright Refill 800ml,DishBright,Home Care,Refill 800ml,48
HC-0306,DishBright Bar 150g,DishBright,Home Care,Bar 150g,143
HC-0307,DishBright Sachet 20ml,DishBright,Home Care,Sachet 20ml,47
HC-0308,DishBright Combo 1L+250ml,DishBright,Home Care,Combo 1L+250ml,104
PC-0101,Silkessa 50ml,Silkessa,Personal Care,50ml,19
PC-0102,Silkessa 100ml,Silkessa,Personal Care,100ml,52
PC-0103,Silkessa 200ml,Silkessa,Personal Care,200ml,41
PC-0104,Silkessa 400ml,Silkessa,Personal Care,400ml,31
PC-0105,Silkessa Sachet 8ml,Silkessa,Personal Care,Sachet 8ml,52
PC-0106,Silkessa Bar 75g,Silkessa,Personal Care,Bar 75g,124
PC-0107,Silkessa Twin 2x100ml,Silkessa,Personal Care,Twin 2x100ml,62
PC-0108,Silkessa Family 750ml,Silkessa,Personal Care,Family 750ml,206
PC-0201,MintGuard 50ml,MintGuard,Personal Care,50ml,24
PC-0202,MintGuard 100ml,MintGuard,Personal Care,100ml,48
PC-0203,MintGuard 200ml,MintGuard,Personal Care,200ml,39
PC-0204,MintGuard 400ml,MintGuard,Personal Care,400ml,93
PC-0205,MintGuard Sachet 8ml,MintGuard,Personal Care,Sachet 8ml,62
PC-0206,MintGuard Bar 75g,MintGuard,Personal Care,Bar 75g,114
PC-0207,MintGuard Twin 2x100ml,MintGuard,Personal Care,Twin 2x100ml,167
PC-0208,MintGuard Family 750ml,MintGuard,Personal Care,Family 750ml,110
PC-0301,Aloe Vera Glow 50ml,Aloe Vera Glow,Personal Care,50ml,13
PC-0302,Aloe Vera Glow 100ml,Aloe Vera Glow,Personal Care,100ml,42
PC-0303,Aloe Vera Glow 200ml,Aloe Vera Glow,Personal Care,200ml,75
PC-0304,Aloe Vera Glow 400ml,Aloe Vera Glow,Personal Care,400ml,56
PC-0305,Aloe Vera Glow Sachet 8ml,Aloe Vera Glow,Personal Care,Sachet 8ml,85
PC-0306,Aloe Vera Glow Bar 75g,Aloe Vera Glow,Personal Care,Bar 75g,52
PC-0307,Aloe Vera Glow Twin 2x100ml,Aloe Vera Glow,Personal Care,Twin 2x100ml,173
PC-0308,Aloe Vera Glow Family 750ml,Aloe Vera Glow,Personal Care,Family 750ml,102
